msrc_transactionid,msrc_customerid,msrc_transactionsessionid,msrc_productcatalogid,msrc_transactionlocationid,msrc_transactionchanneltype,msrc_transactiontimestamp,msrc_transactiontype,msrc_paymenttype,msrc_transactionamount,msrc_discountappliedamount,msrc_ontimedelivery,msrc_customerscorereview
28eaa849-7619-48a9-b9a9-27f05d14ad34,5c34469e-b3de-4490-84bb-1034083203b5,4dc8b1a7-c95d-4e11-9381-f1d2ef2304ec,eba90c83-4e61-4046-a3ce-7d86004ce6a1,03d6a07a-6c02-4f9a-911b-91f065253518,Physical,6/1/2021 3:02,Purchase,Debit,26.169770706,4.154424965,Delayed,TRUE
594061e1-5738-4c60-8bee-a41cac8c7932,b9ffa96f-1c70-4f91-94ea-046879d0ea3f,9ac7ee73-2ad5-4165-ad36-0e56b05a9ee0,5a5d2db5-9e0e-43dd-af10-04f3cec1acf0,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Physical,6/1/2021 5:02,Purchase,Debit,19.353175635,0,On-time,FALSE
cb966bf1-17e9-45af-8012-f7b5eceb456c,b2260359-a849-4b9d-82b9-aabe8f53b036,82678f09-2ad7-487f-95d1-555d4ed5ef40,b07213f3-e39f-4a6e-a94b-55e407f30491,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Digital,6/1/2021 6:25,Exchange,Mobile/digital/cashless,33.73114178,0,On-time,FALSE
b02221b0-28a5-4464-8d52-160e06105c7f,5c34469e-b3de-4490-84bb-1034083203b5,db61c17c-6450-4c8c-9e41-109b4c58893d,a360fbbd-0487-48d9-bce9-d26dd784bdf9,03d6a07a-6c02-4f9a-911b-91f065253518,Digital,6/1/2021 6:51,Purchase,Credit card,23.9190971,0,Delayed,FALSE
99e853cb-9869-4a1a-a217-2c90284a2c4d,b6f9cb90-281e-4726-a537-30be193087b9,c5c3faeb-c264-403e-8e49-70e21daee45a,df6065fa-3937-4b23-b06d-49d60ed7a2cc,baa6cdde-e13b-4284-b9ed-c1e37a4eabb3,Digital,6/1/2021 7:23,Exchange,Cash,6.101432713,0,Delayed,FALSE
b918de5b-28be-42f5-ba53-4ac86e4dd9a5,d335008d-5bda-4302-9a5d-4fabc009f342,1baceafb-a842-4447-99ae-e70e51960c03,0de52113-9821-4c84-a565-c310299b3683,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Digital,6/1/2021 7:52,Return,Cash,35.737890027,0,Delayed,FALSE
c6af86ef-1d65-47fd-994c-996dd4d5b4a3,a059152d-db29-46c6-b65a-25b5823ee83b,b64309aa-8db1-479e-9f85-5f74e4b53b2c,8b7f4bf7-93cd-4318-883c-cf533ad43740,705946ad-83d7-4009-8ba5-9d584448f246,Physical,6/10/2021 11:41,Return,Debit,18.21413092,0,On-time,FALSE
7e436a15-95df-42ff-ad4c-b674b5b447e6,38b0fdb5-dfb4-4e20-bb16-7aa9159e4b09,b064777d-a624-468a-933d-bd3e1b7f97b6,81ed874b-f763-4143-aa36-602ad6628068,bee5ad7a-5d17-4635-a720-563266fafd85,Physical,6/10/2021 13:57,Return,Cash,23.009079003,0.634796329,On-time,TRUE
75b43856-b99c-4b5b-8a02-5ea8b222110a,cb988669-e2d8-48ff-bbe5-a60773e6a7f5,ae41676e-f486-436d-a26c-d0f58e68423a,915f4024-fb10-49cf-bfb3-464a819a8c3a,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Digital,6/10/2021 14:46,Return,Mobile/digital/cashless,1.79377575,0.470287751,On-time,TRUE
263daa55-44ab-4fef-ae31-323e560ec56d,eedf4d89-56a0-41c9-9048-1a793ba2c8e8,f876cec3-0803-40a9-8307-78fd72b47f4b,b07213f3-e39f-4a6e-a94b-55e407f30491,705946ad-83d7-4009-8ba5-9d584448f246,Digital,6/10/2021 15:47,Refund,Cash,30.944678974,5.53166494,Delayed,TRUE
62d6760d-f343-4f6c-bb03-2a4891dfb1f1,5c34469e-b3de-4490-84bb-1034083203b5,afe8d70d-f12a-4ac4-a917-b99a68c0893a,48d6ccbd-8034-4170-84cd-328d528730d7,03d6a07a-6c02-4f9a-911b-91f065253518,Physical,6/10/2021 16:12,Purchase,Cash,37.063930735,0,Delayed,TRUE
3c234b66-559a-4951-b7e4-8998ef478b75,b6fadde2-cc90-4a19-9167-6f94e59f1d86,29916751-cbd0-4e99-8f63-aafb413299c6,0de52113-9821-4c84-a565-c310299b3683,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Physical,6/10/2021 16:27,Purchase,Mobile/digital/cashless,24.044226996,0,Delayed,FALSE
ea006c0c-8da4-4de0-8602-bfd3c63d4dd1,caaa42fe-0d4f-4e16-80e6-5fb81ec5ab56,54195dae-8518-4f99-92c7-b98241d2c7b1,3af44dca-decb-4691-9c8f-ce3f1bedd38b,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Physical,6/10/2021 17:25,Purchase,Mobile/digital/cashless,40.338497003,6.123771439,On-time,TRUE
ffe01002-3b56-4d4a-b830-7a9ca237cabc,2639f6a7-faa2-4563-8fd4-55ce9de3346c,435726c4-0295-4a74-ad0e-e867ee0b2286,8d752691-8123-469b-9d93-3b69f479fd3f,ed029d40-8784-406f-9d6d-0f550997f6a3,Physical,6/10/2021 18:24,Return,Mobile/digital/cashless,25.362974442,0,Delayed,FALSE
84c11b14-d1dc-47c6-935a-eaac3bcf07e6,b6f9cb90-281e-4726-a537-30be193087b9,4c8de292-20c0-4bc0-977a-6f0e276afa5c,217d17ca-a715-4937-b96c-471c8412caab,baa6cdde-e13b-4284-b9ed-c1e37a4eabb3,Digital,6/10/2021 3:17,Return,Credit card,43.454489174,0,On-time,FALSE
709d9e81-7bf3-47fc-bb9a-c1a1aa4a9bc0,b2260359-a849-4b9d-82b9-aabe8f53b036,31ea5bf7-e71b-4e17-b366-336ce9804267,504c39f4-c775-4ba9-a5a5-ba0eb2367aea,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Digital,6/10/2021 7:16,Purchase,Credit card,25.99195314,0,On-time,FALSE
ec544a0d-3561-4ff1-8ec6-55dc17e07f5a,b2260359-a849-4b9d-82b9-aabe8f53b036,82678f09-2ad7-487f-95d1-555d4ed5ef40,3af44dca-decb-4691-9c8f-ce3f1bedd38b,2abe9d30-1f49-45c4-b9e3-9b94f1b33143,Digital,6/10/2021 8:03,Purchase,Cash,15.293588828,2.73203778,Delayed,TRUE
b52c0891-e4e7-4f3e-8afc-ca3d65a74eb6,6386a2e5-8160-48f5-8c20-5e2dd5a60e62,b2b3e786-1b4f-4dce-bb5d-f79d9d21ae00,15eafaea-d066-4914-9712-f95eccba3b9b,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Digital,6/11/2021 12:22,Purchase,Mobile/digital/cashless,44.188498842,0,Delayed,FALSE
d48ef4ac-9698-4c06-acbb-a1e77ba8e0be,b6f9cb90-281e-4726-a537-30be193087b9,4c8de292-20c0-4bc0-977a-6f0e276afa5c,469777bc-a10d-45b5-b4ee-368ff44bf3c0,baa6cdde-e13b-4284-b9ed-c1e37a4eabb3,Digital,6/11/2021 17:37,Purchase,Credit card,4.349955128,0,Delayed,FALSE
341afb94-84f2-4257-b0ab-0dc13c44e645,552c8115-ebf0-4a34-9be1-0733794da1e3,772b31d7-db7f-4600-866a-0e43fd4f4645,469777bc-a10d-45b5-b4ee-368ff44bf3c0,bee5ad7a-5d17-4635-a720-563266fafd85,Physical,6/11/2021 17:47,Exchange,Debit,39.004553254,1.201720491,Delayed,FALSE
ac081cfe-64b6-4f3a-b28a-43384dc60974,0fec12ff-a673-47e4-b50c-fe773062dce3,9a0b87cc-685b-48f9-ad17-0f62af1c1c62,e9adcb1e-fc0e-45ad-8470-6f67a7090cdc,257f92dc-66fc-4c77-936b-a695055bc0fb,Physical,6/11/2021 17:59,Purchase,Mobile/digital/cashless,13.028455072,0,On-time,FALSE
9f5b75f8-a220-4146-bd35-676df983147f,a39c015d-0d54-4daa-bae0-56774a753c06,c37f778b-151d-4d88-a7a1-d544d6c43019,e4cf7f61-c02b-432b-8f17-9205ff89cb06,705946ad-83d7-4009-8ba5-9d584448f246,Physical,6/11/2021 18:09,Purchase,Cash,9.712977758,0,Delayed,FALSE
501652b0-8d43-4771-bcc5-38e2a6261d8d,b6f9cb90-281e-4726-a537-30be193087b9,c5c3faeb-c264-403e-8e49-70e21daee45a,61013c35-7226-41bf-8c06-f60490a60de2,baa6cdde-e13b-4284-b9ed-c1e37a4eabb3,Physical,6/11/2021 20:29,Purchase,Cash,35.886193072,5.832646048,On-time,FALSE
de22a4b8-66cc-43c8-894c-f8a64b0f8305,a0c4eb53-639d-4eab-ae55-3d6761a5f59f,58c20dbc-5b60-4237-b4ad-5a5138006694,e1c18697-fbfc-4851-957c-2f49953f781d,baa6cdde-e13b-4284-b9ed-c1e37a4eabb3,Physical,6/11/2021 20:55,Purchase,Credit card,33.315828313,1.853543956,On-time,FALSE
3e252416-a8cf-4141-8454-05cb7ce886ef,38b0fdb5-dfb4-4e20-bb16-7aa9159e4b09,b064777d-a624-468a-933d-bd3e1b7f97b6,a0d728bf-47c0-4ee7-a8e7-f8a50620765c,d323210d-5187-444f-83aa-4ee0c6da6029,Digital,6/11/2021 21:04,Purchase,Mobile/digital/cashless,2.83573845,0.632459931,On-time,TRUE
9f9a1600-5b2b-414e-8aad-8240b5cc96b4,bde0d704-b3fe-48b0-8ace-a661147d8216,7d06975c-c4d7-4c49-88e3-353d089c448b,e4cf7f61-c02b-432b-8f17-9205ff89cb06,ed029d40-8784-406f-9d6d-0f550997f6a3,Physical,6/11/2021 6:16,Exchange,Debit,8.883159665,0,On-time,FALSE
a4cd386f-1fe5-4bb8-808a-fa3752d20427,9583d68a-6333-49de-b7a5-f598146a62a2,4e947e56-6d6a-4867-9631-48e2b92f3d85,230a4227-989f-48c9-b26a-fc8bdc31fd3f,257f92dc-66fc-4c77-936b-a695055bc0fb,Physical,6/12/2021 13:20,Purchase,Cash,39.467387852,0,Delayed,TRUE
bce35f39-a4ba-4684-a494-5612f410b18e,b6fadde2-cc90-4a19-9167-6f94e59f1d86,29916751-cbd0-4e99-8f63-aafb413299c6,469777bc-a10d-45b5-b4ee-368ff44bf3c0,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Digital,6/12/2021 1:27,Purchase,Cash,30.529944624,0,On-time,FALSE
ee1fd6ff-a2b7-455e-8281-50b7af578655,ac4b423d-995a-44e2-8ffe-328442bf97e5,4df3b1e9-5c6e-4771-b6ed-c53280a1c795,4d2f7502-b1cf-49a5-93b6-9080d69acd4c,bee5ad7a-5d17-4635-a720-563266fafd85,Digital,6/12/2021 20:48,Purchase,Debit,31.126503548,3.042762179,Delayed,FALSE
9e17dd95-e50f-4961-aedb-8ddfb3737ce1,9583d68a-6333-49de-b7a5-f598146a62a2,b7122f72-1fcb-48fb-aea9-c46bc800d489,b07213f3-e39f-4a6e-a94b-55e407f30491,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Digital,6/12/2021 23:29,Purchase,Mobile/digital/cashless,8.272361037,2.099595025,On-time,TRUE
914deb67-0e5d-4f6c-9323-2a0599e5c51d,bde0d704-b3fe-48b0-8ace-a661147d8216,7d06975c-c4d7-4c49-88e3-353d089c448b,504c39f4-c775-4ba9-a5a5-ba0eb2367aea,ed029d40-8784-406f-9d6d-0f550997f6a3,Physical,6/12/2021 3:58,Return,Cash,33.737112477,7.229318697,Delayed,TRUE
d35944d0-e5d3-4fdd-ac76-afad4714c152,6fd03cee-5961-4d58-8532-090bc687dfc5,166e7838-8d5e-48b3-815d-4f06bf1c3794,d6ae1f1e-c772-419a-ae47-76470835aed8,d323210d-5187-444f-83aa-4ee0c6da6029,Physical,6/12/2021 8:12,Exchange,Credit card,9.576361159,0,On-time,TRUE
aa508a61-2ffe-40be-9a52-3d51e2bb3cff,981f4e82-00c1-484d-bfcc-b3c41bd07583,d5ef8b6c-dc17-4f82-ac50-cedef6f678b1,5916a959-b9f3-4dbc-8dfe-d5ae11bdbfa9,705946ad-83d7-4009-8ba5-9d584448f246,Physical,6/12/2021 8:25,Purchase,Mobile/digital/cashless,26.309810709,1.751839841,Delayed,TRUE
ce30e208-c461-4173-a0df-cf4468e4f17c,caaa42fe-0d4f-4e16-80e6-5fb81ec5ab56,0f9b1687-9b9d-47f6-bf46-8423c15618f1,994ec80e-1248-4fc4-af6f-f8f287353caa,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Digital,6/12/2021 8:40,Purchase,Credit card,14.961961958,1.835668869,Delayed,TRUE
cf68d368-b484-4f37-8d13-aa78d9c02b9e,b2260359-a849-4b9d-82b9-aabe8f53b036,31ea5bf7-e71b-4e17-b366-336ce9804267,2d20179a-5c8a-4e3d-a71a-6da74136ca29,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Physical,6/13/2021 0:27,Refund,Debit,32.957455186,0,On-time,TRUE
fc94f223-95d6-4227-a93e-498a70b36616,cd6c0fd6-6808-424b-be75-d1f68fdd17f6,e554438a-0d9a-4bc0-a21e-73f61ff6d026,12b621e2-4a6f-47e5-a11a-5036ca0b49a1,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Physical,6/13/2021 0:57,Return,Mobile/digital/cashless,36.814366949,0,On-time,FALSE
db260d4f-0556-41e2-ba6c-ab630a357337,9b64841e-3493-4bab-a657-236a3e0e21f9,79698c14-d3bd-4a05-9a3a-8293164fcdbe,15eafaea-d066-4914-9712-f95eccba3b9b,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Physical,6/13/2021 10:54,Purchase,Debit,26.074660744,0,Delayed,FALSE
0b5629da-f3cd-47a2-b983-54e84dac9ea7,0fec12ff-a673-47e4-b50c-fe773062dce3,9a0b87cc-685b-48f9-ad17-0f62af1c1c62,33228d36-309b-4f86-b3e6-41717a6849d0,bee5ad7a-5d17-4635-a720-563266fafd85,Physical,6/13/2021 11:39,Refund,Debit,15.363910433,0.504848223,Delayed,FALSE
da5afd06-97f2-416a-ba3e-ebe079481dde,a0c4eb53-639d-4eab-ae55-3d6761a5f59f,58c20dbc-5b60-4237-b4ad-5a5138006694,3af44dca-decb-4691-9c8f-ce3f1bedd38b,baa6cdde-e13b-4284-b9ed-c1e37a4eabb3,Digital,6/13/2021 16:46,Exchange,Credit card,41.759046956,1.306827479,On-time,TRUE
5f16e9d7-01db-4634-b440-b4c632b9ef03,a39c015d-0d54-4daa-bae0-56774a753c06,c37f778b-151d-4d88-a7a1-d544d6c43019,cad3a090-91aa-4c30-819e-9f5ce5e657c0,705946ad-83d7-4009-8ba5-9d584448f246,Physical,6/13/2021 17:34,Exchange,Cash,41.030496501,0,Delayed,FALSE
58a67803-b190-4301-9f8e-ed8f78ca4d24,b6f9cb90-281e-4726-a537-30be193087b9,4c8de292-20c0-4bc0-977a-6f0e276afa5c,d5667f01-46a5-43ff-9668-7f5dba1142cc,baa6cdde-e13b-4284-b9ed-c1e37a4eabb3,Digital,6/13/2021 23:19,Exchange,Cash,1.9606707,0,Delayed,FALSE
3242de4c-a16d-40d3-a87a-b50bffb5445d,a059152d-db29-46c6-b65a-25b5823ee83b,b64309aa-8db1-479e-9f85-5f74e4b53b2c,e1c18697-fbfc-4851-957c-2f49953f781d,baa6cdde-e13b-4284-b9ed-c1e37a4eabb3,Physical,6/13/2021 4:54,Return,Cash,29.908672573,6.731810873,On-time,FALSE
f4167661-01ee-4209-aa80-22559c39bd71,eedf4d89-56a0-41c9-9048-1a793ba2c8e8,f876cec3-0803-40a9-8307-78fd72b47f4b,d5667f01-46a5-43ff-9668-7f5dba1142cc,705946ad-83d7-4009-8ba5-9d584448f246,Digital,6/13/2021 5:38,Purchase,Debit,44.693525462,0,On-time,FALSE
63c47851-a04e-4c28-8412-ff7dd8125c24,738f4844-0c52-43d3-b98a-c979bac64622,21de93e9-c15b-496f-9c52-37fc023e3a19,30a00332-31cb-4524-a89a-13e415000adc,bd76c01e-b70e-4304-84a8-b733a1f8e5e3,Physical,6/14/2021 13:12,Purchase,Debit,30.395937466,1.505968356,Delayed,TRUE
7bb961fd-a5e0-41a2-9615-243755b98fad,738f4844-0c52-43d3-b98a-c979bac64622,3ce3c2ae-6c78-471b-aafd-223bab54ca03,0ee9039f-45be-4755-a4ba-9946bb271bcf,ed029d40-8784-406f-9d6d-0f550997f6a3,Physical,6/14/2021 13:59,Purchase,Debit,5.013189199,0,On-time,TRUE
a6542f33-7aec-48f3-9d23-110b4028a1eb,bbdb10e6-218a-47ea-9dfc-89116cd9358a,ccf1bd33-e1a3-4f14-b603-541993bb3d49,ff94ecde-a21d-4ddd-a84f-5938901f5d7b,d323210d-5187-444f-83aa-4ee0c6da6029,Digital,6/14/2021 1:00,Purchase,Mobile/digital/cashless,18.327903093,0,On-time,TRUE
a6881c4e-5c39-43db-a4dc-0ce7294e52f0,9583d68a-6333-49de-b7a5-f598146a62a2,b7122f72-1fcb-48fb-aea9-c46bc800d489,d5667f01-46a5-43ff-9668-7f5dba1142cc,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Digital,6/14/2021 21:27,Purchase,Credit card,22.622515992,0,Delayed,TRUE
a3022f4d-c831-48bf-a04c-0bb7e4cfb516,28c6dcf6-8cf0-4910-9193-e7307d11c089,b0fb3e20-9e20-49e0-978e-56909a4f2ec9,9dc9d36e-5b57-49ff-8c43-067a4fb6ac43,d323210d-5187-444f-83aa-4ee0c6da6029,Physical,6/14/2021 7:06,Exchange,Mobile/digital/cashless,9.126330916,1.8671275,Delayed,TRUE
e15dddff-6a07-4aea-9255-49cf30a7a86d,d335008d-5bda-4302-9a5d-4fabc009f342,95f9b0a4-5abf-4404-9680-0272fe2f319b,1aa5db0d-fefe-43b8-ba79-281433c4efe3,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Digital,6/15/2021 0:09,Purchase,Debit,37.745547664,0,Delayed,TRUE
41c1cac4-be84-47de-909d-f5677982ee11,b9ffa96f-1c70-4f91-94ea-046879d0ea3f,7df12961-ae6e-4d23-a3c4-d47da65a1417,faf5777d-22fe-436b-863b-7977e35abc49,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Digital,6/15/2021 0:52,Purchase,Debit,14.240402892,0,On-time,FALSE
b893b0c4-e87b-480c-a2c6-3e2f60f2535d,28c6dcf6-8cf0-4910-9193-e7307d11c089,b0fb3e20-9e20-49e0-978e-56909a4f2ec9,6c48fd82-c59a-4f5e-a3b2-11ed13137f4a,d323210d-5187-444f-83aa-4ee0c6da6029,Digital,6/15/2021 15:38,Purchase,Credit card,15.433942313,0,Delayed,TRUE
e593ebf2-dd64-4b1b-9c99-d965d2e7e1b4,993484ac-e63e-4e08-ad45-3649ce013673,0ef7baac-9da8-42bc-9c61-fb0164c76392,e9adcb1e-fc0e-45ad-8470-6f67a7090cdc,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Physical,6/15/2021 15:54,Purchase,Cash,9.537770103,0.156309217,Delayed,TRUE
a18824e2-9c65-478b-a0c8-22ca864467dd,eedf4d89-56a0-41c9-9048-1a793ba2c8e8,f876cec3-0803-40a9-8307-78fd72b47f4b,fab468d7-e141-46d6-a766-87a7cfce2b5e,705946ad-83d7-4009-8ba5-9d584448f246,Digital,6/15/2021 17:23,Purchase,Debit,37.289853484,0,Delayed,TRUE
ff2d0dba-b601-41d8-b4f2-8bae6eaadde1,cc150d14-7afc-4c59-895a-e3e9e93b07f0,4031dfd9-2487-4a9a-a18c-8bedcac35802,30a00332-31cb-4524-a89a-13e415000adc,bee5ad7a-5d17-4635-a720-563266fafd85,Digital,6/15/2021 17:35,Purchase,Credit card,33.753972101,0,Delayed,TRUE
1f3c1623-a07f-48fa-89d5-6dbe5eea8005,6386a2e5-8160-48f5-8c20-5e2dd5a60e62,b2b3e786-1b4f-4dce-bb5d-f79d9d21ae00,0df65236-4a75-45e0-aa67-95a4f67351b1,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Physical,6/15/2021 18:43,Purchase,Debit,18.794125405,0.185516287,On-time,TRUE
a9f7535a-cfcd-4845-88fb-d6c05073f5c7,b9ffa96f-1c70-4f91-94ea-046879d0ea3f,9ac7ee73-2ad5-4165-ad36-0e56b05a9ee0,15ba6a90-64b5-489d-86ee-bcbfc6bdfefe,b1211fbc-fea3-4d61-b2fb-3965014a70bb,Digital,6/15/2021 4:39,Refund,Credit card,13.675958865,0,Delayed,FALSE
5f1f9893-f10d-4972-b45b-fccfa773c65b,28c6dcf6-8cf0-4910-9193-e7307d11c089,b0fb3e20-9e20-49e0-978e-56909a4f2ec9,48d6ccbd-8034-4170-84cd-328d528730d7,d323210d-5187-444f-83aa-4ee0c6da6029,Physical,6/15/2021 5:32,Refund,Credit card,28.845107218,0,On-time,FALSE
6d8323ba-91e2-40e7-bb8f-2cbd279940e6,a4f980ba-4b32-4d83-b01c-4b9590c3afc4,7e30d76e-9178-4c7f-95be-f03cd0e3fcba,b07213f3-e39f-4a6e-a94b-55e407f30491,ed029d40-8784-406f-9d6d-0f550997f6a3,Digital,6/15/2021 6:04,Purchase,Credit card,41.328085539,0,On-time,TRUE
2ffdf130-e553-4151-bb08-b0a539bafb6c,28c6dcf6-8cf0-4910-9193-e7307d11c089,b0fb3e20-9e20-49e0-978e-56909a4f2ec9,a9bf3b52-c1e9-43c7-8804-002d86e2f1f9,d323210d-5187-444f-83aa-4ee0c6da6029,Physical,6/15/2021 6:26,Refund,Credit card,14.279523389,0,On-time,FALSE
df8ca2f0-4878-437c-9064-714806637884,b6fadde2-cc90-4a19-9167-6f94e59f1d86,29916751-cbd0-4e99-8f63-aafb413299c6,504c39f4-c775-4ba9-a5a5-ba0eb2367aea,22b5163e-1e78-47a3-bdeb-90d97d5cfa64,Digital,6/15/2021 8:25,Return,Cash,29.42713857,0,On-time,TRUE
9f974495-43d1-4528-b311-be5758784634,5c34469e-b3de-4490-84bb-1034083203b5,db61c17c-6450-4c8c-9e41-109b4c58893d,df6065fa-3937-4b23-b06d-49d60ed7a2cc,03d6a07a-6c02-4f9a-911b-91f065253518,Digital,6/16/2021 11:59,Exchange,Debit,11.902006261,2.076916406,On-time,FALSE
d47ed913-cea0-4ea4-b398-71fee2481f26,6386a2e5-8160-48f5-8c20-5e2dd5a60e62,b2b3e786-1b4f-4dce-bb5d-f79d9d21ae00,252fbd74-1296-424f-a6c9-bbdfe3d09984,bd76c01e-b70e-4304-84a8-b733a1f8e5e3,Digital,6/16/2021 13:58,Refund,Debit,35.391909427,0,Delayed,TRUE
d62f6c1e-2cc2-4ee9-844f-30a878ba33d3,0fec12ff-a673-47e4-b50c-fe773062dce3,9a0b87cc-685b-48f9-ad17-0f62af1c1c62,30a00332-31cb-4524-a89a-13e415000adc,257f92dc-66fc-4c77-936b-a695055bc0fb,Digital,6/16/2021 17:17,Purchase,Credit card,35.857063363,7.133998625,On-time,TRUE
c0f66c8d-6c54-47f7-a039-eb3a3231f7f1,552c8115-ebf0-4a34-9be1-0733794da1e3,772b31d7-db7f-4600-866a-0e43fd4f4645,6c48fd82-c59a-4f5e-a3b2-11ed13137f4a,bee5ad7a-5d17-4635-a720-563266fafd85,Physical,6/16/2021 17:43,Purchase,Debit,6.621299166,0,Delayed,FALSE
f1f86d42-b1e9-4e4d-8677-a02a04af8b5a,ad6522ab-f3ec-4a65-9584-7fe13f8dc4da,b0745753-8dbd-4c44-bd93-840e1f437ade,5916a959-b9f3-4dbc-8dfe-d5ae11bdbfa9,d323210d-5187-444f-83aa-4ee0c6da6029,Physical,6/16/2021 19:58,Return,Mobile/digital/cashless,32.849461305,0,On-time,TRUE
b1014519-d1ac-4701-9e6e-3c5f509e4a5c,ad6522ab-f3ec-4a65-9584-7fe13f8dc4da,7d38fb91-73f8-4ee4-ac96-b1556349c8d6,230a4227-989f-48c9-b26a-fc8bdc31fd3f,d323210d-5187-444f-83aa-4ee0c6da6029,Physical,6/16/2021 20:34,Purchase,Debit,16.969342196,0,On-time,TRUE
